Athol Daily News [1],http://www.atholdailynews.com
The Berkshire Eagle,http://www.berkshireeagle.com/
The Boston Globe,https://www.bostonglobe.com
Boston Herald,https://www.bostonherald.com/
Cape Cod Times [1],http://www.capecodtimes.com/
The Daily Item,https://www.itemlive.com
Daily Hampshire Gazette [1],http://www.gazettenet.com
The Daily News of Newburyport,http://www.newburyportnews.com/
Daily Times Chronicle,http://www.homenewshere.com/
The Eagle-Tribune,http://www.eagletribune.com
The Enterprise,http://www.enterprisenews.com
The Gardner News,http://www.thegardnernews.com/
Gloucester Daily Times,http://www.gloucestertimes.com/
The Herald News,http://www.heraldnews.com/
Malden Evening News,http://maldennews.com
Medford Daily Mercury,http://maldennews.com
Metro,https://www.metro.lu
The MetroWest Daily News,http://www.metrowestdailynews.com/
The Milford Daily News,http://www.milforddailynews.com/
The Norfolk Times,Unhandled
The Patriot Ledger,http://www.patriotledger.com/
The Plainville Times,Unhandled
The Recorder,http://www.recorder.com/
The Republican,https://www.masslive.com/
The Salem News,http://www.salemnews.com
Sentinel & Enterprise,http://www.sentinelandenterprise.com/
Southbridge Evening News,http://www.stonebridgepress.com
Standard-Times,https://www.southcoasttoday.com/
The Sun,http://lowellsun.com
The Sun Chronicle,https://www.thesunchronicle.com/
Taunton Daily Gazette,http://www.tauntongazette.com/
Telegram & Gazette,http://www.telegram.com
The Wakefield Daily Item,http://www.wakefielditem.com/
The Westfield News,http://thewestfieldnews.com/
World Journal (Boston edition),https://www.wjboston.com/
The Wrentham Times,Unhandled
